,user_id,keywords_by_frequency,keywords_by_similarity
0,!!??!?,구매 입히다 저렴하다,쓰다 코디 귀엽다
1,!!ㅇㅈㅁ!!,입다 좋다 자다,쓰다 생각 귀엽다
2,!i!i!,자다 좋다 입다,쓰다 생각 코디
3,!•c•!,좋다 입다 자다,생각 코디 쓰다
4,!ㅇㅁㅇ!,배송 빠르다 좋다,만족스럽다 귀엽다 쓰다
5,!안녕하세용!,생각 예쁘다 자다,생각 코디 쓰다
6,!티키타!,좋다 입다 자다,생각 코디 귀엽다
7,##menow,좋다 생각 자다,생각 사다 쓰다
8,#0610,살다 추천 좋다,추천 쓰다 코디
9,#3#,입다 좋다 자다,생각 코디 쓰다
10,#@#@#@#,좋다 재질 사다,좋다 사다 생각
11,#LoveMeALittle,입다 마음 자다,생각 쓰다 코디
12,#^_^,좋다 느낌 입다,생각 느낌 코디
13,#_,입다 예쁘다 좋다,생각 쓰다 코디
14,#menow,좋다 자다 구매,쓰다 생각 코디
15,#따봉도치,좋다 자다 입다,생각 사다 쓰다
16,#마시따,입다 좋다 사다,사다 코디 생각
17,#생귤탱귤,좋다 입다 레이어,생각 쓰다 코디
18,#어바웃키친,좋다 입다 예쁘다,코디 생각 쓰다
19,#유월,좋다 괜찮다 입다,사다 생각 괜찮다
20,#호갓,구매 좋다 예쁘다,코디 무난 쓰다
21,$#%,무난 좋다 다니다,무난 쓰다 코디
22,$.,좋다 예쁘다 마음,코디 생각 쓰다
23,$cepter,예쁘다 사이즈 좋다,코디 예쁘다 생각
24,$hit,좋다 디자인 입다,쓰다 코디 생각
25,$¥€,좋다 예쁘다 생각,생각 코디 쓰다
26,$ㅌx,좋다 입다 크다,생각 코디 쓰다
27,$홍석천머리끈$,좋다 입다 자다,생각 사다 쓰다
28,*#***,입다 좋다 구매,코디 생각 쓰다
29,*@_@*a,생각 좋다 예쁘다,생각 코디 쓰다
30,*BIGBOSS*,좋다 원단 디자인,쓰다 생각 코디
31,*^*^,좋다 적당하다 자다,생각 코디 느낌
32,*~lksoml~*,좋다 가격 입다,쓰다 생각 사다
33,*•K@W•*,구매 자다 생각,쓰다 만족스럽다 코디
34,*도야지*,좋다 입다 맞다,생각 쓰다 좋다
35,*율무*,좋다 입다 귀엽다,생각 귀엽다 코디
36,*지니1*,좋다 입다 루즈,생각 쓰다 코디
37,",,,.,",좋다 자다 귀엽다,생각 귀엽다 쓰다
38,-,예쁘다 다니다 입다,코디 생각 쓰다
39,--ㅇ0ㅇ--,좋다 생각 무난,생각 쓰다 코디
40,-@_@-,좋다 디자인 적당하다,생각 코디 쓰다
41,-MK-,자다 좋다 어울리다,쓰다 사다 무난
42,-_-22,색감 사이즈 맞다,생각 코디 귀엽다
43,-_-vzz,좋다 입다 사다,생각 코디 귀엽다
44,-allure-,좋다 사다 입다,사다 생각 코디
45,-kim-,좋다 입다 만족하다,코디 쓰다 생각
46,-sa,입다 크다 사이즈,귀엽다 쓰다 만족스럽다
47,-³-,좋다 입다 예쁘다,코디 생각 사다
48,-ㅇ◇ㅇ-,좋다 생각 예쁘다,생각 코디 쓰다
49,-라이또,구매 해봤다 좋다,귀엽다 사다 쓰다
50,-지니,좋다 자다 예쁘다,쓰다 사다 귀엽다
51,. Logan,좋다 자다 사이즈,코디 쓰다 생각
52,".,ㅈㅎ",좋다 자다 생각,생각 쓰다 코디
53,... 더 보기,구매 좋다 사이즈,쓰다 코디 사다
54,..’,자다 사다 싸다,사다 쓰다 귀엽다
55,..”!“..,좋다 입다 자다,생각 사다 코디
56,..어쩌라고,예쁘다 좋다 자다,코디 생각 쓰다
57,.80,좋다 가격 배송,좋다 만족스럽다 귀엽다
58,.DOI.,자다 좋다 사이즈,쓰다 귀엽다 생각
59,.JIN,좋다 자다 입다,생각 쓰다 귀엽다
60,.Jongmini.,좋다 구매 자다,생각 쓰다 코디
61,"._.,,",좋다 입다 자다,생각 쓰다 코디
62,._._._._._.__.,예쁘다 입다 좋다,생각 코디 쓰다
63,._.지은,사이즈 길이 입다,생각 귀엽다 코디
64,.______.,좋다 예쁘다 입다,생각 코디 만족스럽다
65,.____________.!,자다 예쁘다 사다,사다 귀엽다 쓰다
66,.junie,기본 추천 드리다,코디 기본 만족스럽다
67,.zip,괜찮다 양말 신발,코디 느낌 사다
68,.◜◡◝.,좋다 마음 입다,생각 마음 귀엽다
69,.ㅡ.ㅡ..ㅡㅡ.,입다 좋다 자다,사다 생각 만족스럽다
70,.깡깡깡깡깡.,좋다 자다 입다,생각 쓰다 귀엽다
71,.다니입임네닉 인중용사 미이,좋다 입다 크다,생각 쓰다 코디
72,.륜.,좋다 사이즈 입다,사다 코디 귀엽다
73,.서리.,좋다 구매 작다,코디 쓰다 생각
74,.신사,자다 입다 좋다,쓰다 사다 생각
75,.연해주,좋다 예쁘다 입다,생각 코디 쓰다
76,.짐니,좋다 자다 아주,사다 쓰다 생각
77,0...,좋다 자다 입다,생각 귀엽다 쓰다
78,0.01%,예쁘다 사다 좋다,사다 코디 예쁘다
79,0.2_,귀엽다 입다 좋다,귀엽다 쓰다 생각
80,00 음... 어디보자~,마음 좋다 사이즈,마음 코디 느낌
81,00000040,예쁘다 좋다 입다,생각 쓰다 코디
82,0000082,좋다 입다 기본,사다 코디 생각
83,0001200,좋다 배송 감사하다,귀엽다 쓰다 만족스럽다
84,000126,좋다 생각 입다,생각 쓰다 코디
85,00030,좋다 귀엽다 얇다,생각 귀엽다 쓰다
86,00224,좋다 생각 자다,생각 코디 쓰다
87,002yh02,추천 좋다 예쁘다,코디 생각 귀엽다
88,00323,자다 배송 좋다,사다 쓰다 귀엽다
89,0040막,좋다 자다 입다,쓰다 사다 무난
90,007DC,자다 제품 깔끔하다,자다 쓰다 무난
91,0099oo,좋다 사다 강추,사다 생각 귀엽다
92,00__jj,좋다 입다 자다,사다 생각 쓰다
93,00오잉00,예쁘다 입다 좋다,생각 쓰다 코디
94,00지구00,마음 자다 좋다,생각 코디 사다
