,document,spac_doc,token_doc
0,좋아요 한재질이라 하의 찾기 차르르 적당하고무엇보다 어려운데수선없이 아니라 심플하면서 수납공간이,좋아요 한 재질이라 하의 찾기 차르르 적당하고 무엇보다 어려운데 수선 없이 아니라 심플하면서 수납공간이,"['좋다', '재질', '하의', '찾기', '적당하다', '어렵다', '수선', '심플', '수납', '공간']"
1,너무 있어서 크고 입는중 확실히 약간 거칠어요내피가 광택이 사이즈감이 따듯하긴해요,너무 있어서 크고 입는 중 확실히 약간 거칠어요 내피가 광택이 사이즈감이 따듯하긴 해요,"['크다', '입다', '확실하다', '거치다', '광택', '사이', '따다']"
2,추천추천 최고최고 지인들이잘샀다고하네요ㅎㅎ 좋은가격에잘구매했네요 또재구매할게요 너무만족합니다 너무너무좋아용 강력추천합니다,추천추천 최고 최고 지인들이 잘 샀다고 하네요 ㅎㅎ 좋은 가격에 잘 구매했네요 또 재구매할게요 너무 만족합니다 너 무너무 좋아용 강력 추천합니다,"['추천', '추천', '최고', '최고', '지인', '자다', '사다', '좋다', '가격', '자다', '구매', '만족하다', '좋다', '강력', '추천']"
3,고급지고 고급져요 너무 디퓨저를 향이네요 디퓨저는 스틱도 스타일이에요 스윗베리향으로 사르르,고급 지고 고급져요 너무 디퓨저를 향이네요 디퓨저는 스틱도 스타일이에 요 스윗베리 향으로 사르르,"['고급', '지고', '고급', '지다', '스타일']"
4,빠르고 배송도 포장도 사용했던 거여서 예전부터 기본탬으로는 이만한신발이 좋네요ㅎㅎ 없습니당,빠르고 배송도 포장도 사용했던 거여서 예전부터 기 본탬으로는 이만한 신발이 좋네요 ㅎㅎ 없습니당,"['빠르다', '배송', '포장', '사용', '예전', '이만', '신발', '좋다', '니당다']"
5,좋아요 약간 크롭한기장의 집업이라 오버핏하고 얇은 어깨 듬직해보여요 되어서 깡패핏,좋아요 약간 크롭한 기장의 집업이라 오버핏하고 얇은 어깨 듬직해 보여 요 되어서 깡패핏,"['좋다', '크롭', '기장', '집업', '오버핏', '얇다', '어깨', '깡패']"
6,유분기가 시력이 저는 그런지 좋아서 심하게 올라왔어요 없고 없는 여름이라,유분기가 시력이 저는 그런지 좋아서 심하게 올라왔어요 없고 없는 여름이라,"['분기', '좋다', '심하다', '올라오다', '여름']"
7,이뻐요 했습니다 입으려고 색감진짜 봄가을에 구매 와이드햇으면 연청에 어땟을까 아쉬운,이 뻐요 했습니다 입으려고 색감 진짜 봄 가을에 구매 와이드햇으면 연청에 어땟을까 아쉬운,"['입다', '색감', '가을', '구매', '와이드', '아쉽다']"
8,좋습니당 수납공간도 맘에 디자인 들고 넉넉해요 너무,좋습니 당 수납공간도 맘에 디자인 들 고 넉넉해요 너무,"['좋다', '수납', '공간', '디자인', '넉넉하다']"
9,좋습니다 매우 흠이지만향이 생각한거보다 이유를 워크팬츠 용량이 옷이 예쁜거 어느,좋습니다 매우 흠이지만 향이 생각한 거보다 이유를 워크팬츠 용량이 옷이 예쁜 거 어느,"['좋다', '생각', '이유', '크다', '팬츠', '용량', '예쁘다']"
10,마음에 핏도 듭니다 예뻐요 그레이와 프린트가 뽀얀 빈티지핑크빛의 조화롭고 어두운편이긴해요허리에,마음에 핏도 듭니다 예뻐요 그레이와 프린트가 뽀얀 빈티지 핑크빛의 조화롭고 어두운 편이긴 해요 허리에,"['마음', '듭니', '예쁘다', '그레이', '프린트', '빈티', '핑크', '어두운', '펴다', '허리']"
11,품질인 좋은가격에 좋은 제품입니다 입고있어요 ㅎㅎ,품질인 좋은 가격에 좋은 제품입니다 입고 있어요 ㅎㅎ,"['품질', '좋다', '가격', '좋다', '제품', '입다']"
12,너무 점도 이런 유분기가 없고 씻기고 씻겨 순하고 생각보다 뽀득뽀득합니다,너무 점도 이런 유분기가 없고 씻기고 씻겨 순하고 생각보다 뽀득 뽀득합니다,"['분기', '순하다', '생각']"
13,핏도 키뮤어의 추천드립니다 좋은 좋고 제품입니다싸서 제품 쟁여두었습니다 색감도 부드럽고,핏도 키 뮤어의 추천 드립니다 좋은 좋고 제품입니다 싸서 제품 쟁여두었습니다 색감도 부드럽고,"['추천', '드리다', '좋다', '좋다', '제품', '싸다', '제품', '색감', '부드럽다']"
14,같아요 입고 필요하고 실내에선 구매하면 나오는 니트여서 더워요 덥긴 맞을거,같아 요 입고 필요하고 실내에선 구매하면 나오는 니트여서 더워요 덥긴 맞을 거,"['입다', '필요하다', '실내', '구매', '니트', '덥다', '덥다', '맞다']"
15,사이즈도 하나더 타이트하게잡아주고 좋아서 구매예정입니다 깔끔하구요 너무좋습니다 디자인은 목부분이 늘어갈것같습니다,사이즈도 하나 더 타이트하게 잡아주고 좋아서 구매 예정입니다 깔끔하구요 너무 좋습니다 디자인은 목 부분이 늘어갈 것 같습니다,"['사이즈', '타이', '잡다', '좋다', '구매', '예정', '깔끔하다', '좋다', '디자인', '늘다', '갈다']"
16,샀어요 입으려고 휘뚜루마뚜루 약간 세일하길래 백수같아요 하네요 여름용이라 얇긴 한긴,샀어요 입으려고 휘뚜루마 뚜루 약간 세일하길래 백수 같아 요 하네요 여름용이라 얇긴 한 긴,"['사다', '입다', '휘뚜루', '휘뚜루', '여름', '용이', '얇다', '기다']"
17,저렴하게 제품은 사용합니다 믿고 구입했습니다이니스프리 항상 쓰는제품ㅎ 세일할때 무신사 득템했어요,저렴하게 제품은 사용합니다 믿고 구입했습니다이니스프리 항상 쓰는 제품 ㅎ 세일할 때 무신사 득템했어요,"['저렴하다', '제품', '사용', '믿다', '구입', '항상', '쓰다', '제품', '물다', '득템']"
