,user_id,keywords_by_frequency,keywords_by_similarity
0,!!??!?,구매 입다 저렴하다 좋다 크다,구매 느낌 사다
1,!!ㅇㅈㅁ!!,예쁘다 입다 좋다 크다 편하다,예쁘다 코디 생각
2,!i!i!,좋다 입다 색깔 예쁘다 편하다,느낌 코디 생각
3,!•c•!,좋다 예쁘다 입다 구매 사이즈,느낌 예쁘다 코디
4,!ㅇㅁㅇ!,배송 만족 빠르다 좋다 색깔,귀엽다 느낌 생각
5,!안녕하세용!,예쁘다 입다 동일하다 좋다 크다,느낌 예쁘다 코디
6,!티키타!,좋다 입다 예쁘다 사이즈 두께,예쁘다 생각 괜찮다
7,##menow,구매 좋다 가격 괜찮다 입다,느낌 괜찮다 사다
8,#0610,추천 좋다 강추 가성비 고민,추천 좋다 가성비
9,#3#,입다 좋다 계절 예쁘다 사이즈,예쁘다 코디 사다
10,#@#@#@#,좋다 재질 구매 입다 사이즈,좋다 사다 생각
11,#LoveMeALittle,입다 좋다 구매 디자인 예쁘다,생각 사다 입다
12,#^_^,좋다 느낌 크다 입다 무난,느낌 코디 사다
13,#_,입다 좋다 예쁘다 구매 계절,예쁘다 느낌 생각
14,#menow,구매 좋다 색깔 입다 귀엽다,느낌 귀엽다 코디
15,#따봉도치,좋다 입다 예쁘다 사이즈 구매,좋다 예쁘다 사다
16,#마시따,입다 예쁘다 구매 좋다 얇다,예쁘다 느낌 사다
17,#생귤탱귤,좋다 입다 예쁘다 색깔 레이어,예쁘다 느낌 생각
18,#어바웃키친,좋다 입다 색깔 예쁘다 사이즈,느낌 사다 코디
19,#유월,좋다 예쁘다 괜찮다 입다 구매,예쁘다 좋다 느낌
20,#호갓,예쁘다 구매 좋다 색깔 무난,예쁘다 느낌 코디
21,$#%,좋다 무난 입다 피부 색깔,사다 코디 생각
22,$.,좋다 예쁘다 구매 색깔 사이즈,느낌 코디 사다
23,$cepter,예쁘다 사이즈 구매 색깔 좋다,예쁘다 느낌 코디
24,$hit,예쁘다 좋다 색깔 디자인 입다,예쁘다 느낌 코디
25,$¥€,좋다 예쁘다 나쁘다 색깔 무난,느낌 예쁘다 사다
26,$ㅌx,좋다 구매 색깔 예쁘다 입다,느낌 코디 사다
27,$홍석천머리끈$,예쁘다 좋다 입다 구매 계절,예쁘다 생각 느낌
28,*#***,좋다 입다 색깔 구매 편하다,느낌 사다 코디
29,*@_@*a,좋다 구매 예쁘다 크다 얇다,코디 예쁘다 사다
30,*BIGBOSS*,좋다 원단 디자인 배송 핏감,좋다 느낌 사다
31,*^*^,예쁘다 좋다 적당하다 색깔 길이,느낌 예쁘다 코디
32,*~lksoml~*,좋다 가격 입다 구매 추천,느낌 사다 생각
33,*•K@W•*,구매 색깔 배송 만족 예쁘다,느낌 구매 쓰다
